Date-Time,FEIc2-FEIc1_s,FEIc3-FEIc2_s,FEIc4-FEIc3_s,FEIc5-FEIc4_s,FEIc6-FEIc5_s,FEIc7-FEIc6_s,FEIc8-FEIc7_s,FEIc9-FEIc8_s,FEIc10-FEIc9_s,FEIc11-FEIc10_s,FEIc12-FEIc11_s,FEIc13-FEIc12_s,FEIc14-FEIc13_s,FEIc15-FEIc14_s,FEIc16-FEIc15_s
2006-06-13 00:00:00+00:00,-0.075,-0.095,-0.07,-0.06,0.03,-0.155,-0.085,-0.06,-0.04,-0.055,-0.035,-0.05,-0.045,-0.04,-0.02
2006-06-14 00:00:00+00:00,-0.07,-0.09,-0.095,-0.035,0.03,-0.19,-0.1,-0.06,-0.045,-0.05,-0.035,-0.045,-0.04,-0.045,-0.03
2006-06-15 00:00:00+00:00,-0.085,-0.085,-0.105,-0.025,0.03,-0.215,-0.11,-0.075,-0.045,-0.055,-0.035,-0.05,-0.04,-0.055,-0.01
2006-06-16 00:00:00+00:00,-0.08,-0.09,-0.105,-0.025,0.03,-0.215,-0.11,-0.075,-0.045,-0.05,-0.03,-0.05,-0.04,-0.05,-0.025
2006-06-19 00:00:00+00:00,-0.1,-0.095,-0.11,0.01,0.03,-0.255,-0.115,-0.075,-0.045,-0.045,-0.035,-0.05,-0.035,-0.06,-0.02
2006-06-20 00:00:00+00:00,-0.085,-0.125,0.015,0.01,-0.25,-0.13,-0.08,-0.045,-0.04,-0.025,-0.06,-0.04,-0.045,-0.015,-0.075
2006-06-21 00:00:00+00:00,-0.1,-0.11,0.01,0.01,-0.25,-0.14,-0.085,-0.045,-0.045,-0.03,-0.045,-0.04,-0.055,-0.02,-0.035
2006-06-22 00:00:00+00:00,-0.1,-0.135,0.035,0.01,-0.28,-0.135,-0.09,-0.05,-0.045,-0.03,-0.045,-0.045,-0.045,-0.02,-0.035
2006-06-23 00:00:00+00:00,-0.095,-0.14,0.04,0.01,-0.29,-0.145,-0.09,-0.06,-0.035,-0.025,-0.045,-0.05,-0.055,-0.02,-0.03
2006-06-26 00:00:00+00:00,-0.13,-0.12,0.075,0.01,-0.33,-0.14,-0.095,-0.05,-0.045,-0.02,-0.035,-0.05,-0.055,-0.025,-0.025
